Date of activity,Date of reporting,Nation,Pillar,Daily number of tests,Cumulative number of tests,Daily number of people tested,Cumulative number of people tested,Daily number of positive cases,Cumulative number of positive cases,Daily In-person (tests processed),Cumulative In-person (tests processed),Daily Delivery (tests sent out),Cumulative Delivery (tests sent out)
23/06/2020,24/06/2020,UK,Pillar 2 (excluding Wales),90009,4435253,Unavailable,Unavailable,489,111411,12260,1875004,77749,2560249
23/06/2020,24/06/2020,UK,Pillar 3,35006,857323,,,,,,,,
23/06/2020,24/06/2020,UK,Pillar 4,61287,663253,,,,,2927,168810,58360,494443
24/06/2020,25/06/2020,England,Pillar 1,35870,2111324,20252,1395025,261,159696,,,,
24/06/2020,25/06/2020,Northern Ireland,Pillar 1,1408,96950,996,74235,1,4874,,,,
24/06/2020,25/06/2020,Scotland,Pillar 1,3247,255748,1470,151494,0,15802,,,,
24/06/2020,25/06/2020,Wales,Pillar 1 & 2,3095,165955,2458,130067,125,15466,,,,
24/06/2020,25/06/2020,UK,Pillar 1 (plus Pillar 2 for Wales),43620,2629977,25176,1750821,387,195838,,,,
24/06/2020,25/06/2020,UK,Pillar 2 (excluding Wales),59460,4495020,Unavailable,Unavailable,731,112142,32406,1907078,27054,2587942
24/06/2020,25/06/2020,UK,Pillar 3,36102,894195,,,,,,,,
24/06/2020,25/06/2020,UK,Pillar 4,27841,691100,,,,,2880,171690,24961,519410
